timestamp_ns,accel_x,accel_y,accel_z
6533123394899,-1.8252324,3.2179203,-1.131417
6533128124691,-1.8722837,3.7322788,-1.6134282
6533137584326,-1.9850321,4.5959425,-1.6980896
6533137584326,-1.9850321,4.5959425,-1.6980896
6533147043909,-1.8505256,5.368017,-1.0067616
6533156503545,-1.2584648,6.735959,0.011695743
6533161233336,-0.8290606,7.4248943,0.16198689
6533165963128,-0.57517284,8.225662,0.28572088
6533175422763,0.4125004,10.091415,0.5104563
6533180152555,0.735507,10.9754305,0.34187764
6533194341982,0.5288353,13.324035,-0.5086284
6533199071774,-0.18933558,13.75558,-0.6074791
6533213261201,-1.8418282,13.846241,-1.0943575
6533213261201,-1.8418282,13.846241,-1.0943575
6533213261201,-1.8418282,13.846241,-1.0943575
6533222720836,-2.377108,12.433486,-2.5530648
6533227450628,-3.0132766,11.272483,-3.5972223
6533232180472,-3.7964797,9.944444,-4.2598743
6533241640055,-4.8283157,7.4524126,-3.8743334
6533246369899,-4.9289513,6.40921,-2.9796157
6533255829482,-4.995266,4.8189373,-0.71601105
6533260559326,-5.2022405,4.392473,0.4561808
6533265289118,-5.459971,4.191578,1.5279776
6533279478545,-5.1185474,4.0883083,3.627318
6533284208388,-4.637018,4.1238766,4.0510564
6533288938180,-4.052041,4.2579613,4.208234
6533303127607,-2.130654,4.9896517,3.619413
6533317317034,0.38206744,6.2359724,2.5209506
6533322046826,0.6590792,6.488469,2.1299024
6533336236253,0.034347773,7.2030478,0.38940388
6533340966097,-0.32034612,7.270274,-0.32875097
6533350425732,-1.1244037,6.8885107,-1.0972161
6533355155524,-1.4745567,6.465805,-1.1361301
6533369344951,-2.2800775,5.4545813,-0.58020914
6533374074743,-1.9522295,5.6755486,-0.22295749
6533383534378,-1.2080476,6.1377754,0.17288125
6533388264222,-0.9326103,6.046857,0.34723604
6533397723805,-0.6409576,5.7454243,0.3943379
6533402453649,-0.363163,5.6664248,0.24954581
6533421372868,1.2835326,3.7034159,0.6879702
6533430832503,1.3907528,2.4115162,0.9506246
6533435562295,1.4397721,1.998414,1.0814965
6533440292138,1.4548339,1.6242981,1.2463201
6533449751774,1.4775771,0.8216114,1.7244947
6533454481566,1.3780351,0.3982134,1.9630032
6533468670993,0.94830334,-0.5196104,2.0963848
6533473400836,0.8557679,-0.5911522,1.9964385
6533482860472,0.5646194,-0.88203144,1.9460317
6533487590263,0.3987254,-1.142086,2.0022368
6533501779691,0.4113798,-1.1340008,1.5546021
6533506509534,0.4219631,-0.9474745,1.2469747
6533515969118,0.55545497,-0.88251114,1.3682743
6533520698961,0.686117,-0.9371519,1.4335003
6533534888388,0.82160616,-0.17239475,1.0592849
6533539618232,0.770419,0.1900053,0.8957787
6533553807659,0.48450077,0.80790806,0.14949477
6533567997086,0.13617456,1.0202637,-1.0528132
6533572726930,0.14098299,1.0258417,-1.2947224
6533586916357,-0.04562092,0.7698202,-0.92705894
6533591646201,-0.06740618,0.6513195,-0.6530479
6533601105836,-0.005767703,0.5392704,-0.398579
6533605835628,0.08459902,0.5384741,-0.2790649
6533620025055,0.19865751,0.13101387,0.19351447
6533634214534,0.3147937,-0.25758266,0.44310462
6533638944326,0.28584647,-0.27372265,0.5053854
6533648403961,0.067439675,-0.35349083,0.56964636
6533653133805,-0.08576071,-0.4075184,0.49987876
6533667323232,-0.09667432,-0.1534214,-0.029392362
6533672053076,-0.03652394,-0.037674904,-0.11833322
6533686242503,0.123675585,-0.024580956,-0.11164296
6533695702138,0.3030237,0.047955513,-0.22915637
6533714621409,0.39542997,0.21050072,-0.010946274
6533724081045,0.14651442,0.05646324,0.15511358
6533728810888,-0.08540475,9.908676E-4,0.1337781
6533743000316,-0.46168542,-0.27760696,0.38948786
6533747730159,-0.4919387,-0.35660553,0.61212
6533757189795,0.535213,-0.050694466,-1.39955
6533761919586,1.8890042,0.33392143,-3.6002002
6533766649430,2.3489516,0.7279272,-4.1076684
6533780838857,2.6219058,1.3802176,1.0859466
6533790298545,-9.093178,-2.4992743,1.665772
6533795028336,-5.47661,-3.0168414,-0.072345376
6533799758180,1.4406444,-0.13165092,0.89991397
6533813947607,-1.3432403,-2.5462565,-2.3903065
6533823407243,-0.34584546,-1.7317176,1.0084062
6533828137086,0.27668774,-1.8018742,0.8879856
6533832866878,0.3759786,-1.5112348,0.447595
6533842326566,0.4192387,-0.93469334,-0.11716199
6533847056357,0.45891023,-0.62950516,-0.22413361
6533861245836,0.50510573,0.4879713,-0.21712637
6533865975628,0.47491086,0.9669447,-0.27640033
6533875435263,-0.052117825,1.8752594,-0.10457218
6533880165107,0.025556087,1.8677807,0.08409321
6533894354586,-0.16371107,1.0340157,0.15616453
6533899084378,-0.019431591,0.7451687,0.49699247
6533913273857,0.0429399,0.38619518,0.82387054
6533927463336,0.20967388,0.88939095,1.5694191
6533932193180,0.48171008,0.7529764,2.0895958
